,roles,companies,locations,experience,skills,Dates,PresentDate,salary
410,Assistant Manager - Solution Owner,AstraZeneca India Pvt. Ltd,Chennai,5-9 Yrs,Data modelingProject managementConsultingHealthcareRisk managementMS OfficeData miningSQL,2 Days Ago,2024-11-24,Not disclosed
411,Senior Manager - SAP Service Management,AstraZeneca India Pvt. Ltd,Chennai,7-11 Yrs,Service managementSAPDisaster recoveryMachine learningIncident managementSAP ManagerRisk managementMiddleware,2 Days Ago,2024-11-24,Not disclosed
412,Lead Consultant - Enterprise AI Platforms,AstraZeneca India Pvt. Ltd,Chennai,5-15 Yrs,Data analysisLinuxNetworkingRDBMSCodingShell scriptingAgileHealthcare,2 Days Ago,2024-11-24,Not disclosed
413,Application Engineer - Veeva QDocs and QMS Specialist,AstraZeneca India Pvt. Ltd,Chennai,4-7 Yrs,Analytical skillsInterpersonal skillsManager Quality AssuranceQMSManager TechnologyLife sciencesArchivingDocument management,2 Days Ago,2024-11-24,Not disclosed
414,Lead Consultant - Hyper Automation,AstraZeneca India Pvt. Ltd,Chennai,4-8 Yrs,ProcurementAutomationChange managementProject managementMachine learningProject deliveryPortfolio managementAnalytics,2 Days Ago,2024-11-24,Not disclosed
415,Lead Consultant - Enterprise Integration Architect,AstraZeneca India Pvt. Ltd,Chennai,10-14 Yrs,Performance tuningArchitectureXMLMISJSONdata visualizationBusiness strategyRecruitment,2 Days Ago,2024-11-24,Not disclosed
416,Consultant - Bot Configurator,AstraZeneca India Pvt. Ltd,Chennai,6-8 Yrs,AutomationCodingTechnical writingAgileJIRAMacrosSDLCPython,2 Days Ago,2024-11-24,Not disclosed
417,Lead Consultant - Network Reliability,AstraZeneca India Pvt. Ltd,Chennai,6-9 Yrs,AutomationCcieTOGAFAgileManager TechnologyWireless networkingOperationsRecruitment,2 Days Ago,2024-11-24,Not disclosed
418,Pharmacist,Thyrocare,Jammu,1-2 Yrs,MedicinePharmacy,2 Days Ago,2024-11-24,Not disclosed
419,Walk-in interview @Indore - Zydus Lifescience - SEZ-1 Ahmedabad Unit.,Zydus Lifesciences,Ahmedabad(Matoda),2-7 Yrs,wruster coatingGranulationIPQAQC analysisHPLCOSDSolid Oralscoating,2 Days Ago,2024-11-24,3-8 Lacs PA
420,EHS - ETP,Aurobindo Pharma Limited,Kakinada,29 Nov,Biological ETPSBRHazardous wasteAHRWaste managementSMPETPEHS,2 Days Ago,2024-11-24,Not disclosed
421,Associate - Campaign Operator,AstraZeneca India Pvt. Ltd,Chennai,1-5 Yrs,Project managementSocial mediaHTMLTroubleshootingMS OfficeAdobeJIRASalesforce,2 Days Ago,2024-11-24,Not disclosed
422,Staff Nurse,Bangalore West Lions Eye Hospital Cornea Grafting Centre,Bengaluru,1-2 Yrs,opdhealth care servicesemergency medicinegnmnursingmedicinepatient carehealthcare,30+ Days Ago,2024-11-24,Not disclosed
423,Field Clinical Coordinator-Sangli/Miraj,2coms,"Miraj, Sangli",1-6 Yrs,field coordinationteam managementmrproductioncustomer servicengossnursingplant operations,2 Days Ago,2024-11-24,2-3 Lacs PA
424,Business Analyst,Healthcare Industry,Hybrid - Noida,8-12 Yrs,PowerbiSnowflakeSQlazureBusiness AnalysisprdBrdRequirement Gathering,2 Days Ago,2024-11-24,16-25 Lacs PA
425,Looking For Staff Nurse For Narayana Hrudayalaya,Narayana Health (NH),Davangere,21 Nov - 30 Nov,NICUICUNursing,2 Days Ago,2024-11-24,Not disclosed
426,Lead Consultant - SAP FICO,AstraZeneca India Pvt. Ltd,Chennai,15-18 Yrs,Interpersonal skillsSAPSAP FICO ConsultantPharmaIntegration testingWBSdigital strategyABAP,2 Days Ago,2024-11-24,Not disclosed
427,Assistant Manager - Talent Acquisition- (Gurgaon),Dr Lal PathLabs,Gurugram,5-7 Yrs,End To End RecruitmentData ManagementOffer NegotiationMarket MappingCampus HiringCampus RecruitmentHead HuntingHunting,2 Days Ago,2024-11-24,Not disclosed
428,field manager rural,Dr Reddys Path Labs,Banur,2-5 Yrs,Product managementProduct launchExpense managementAnalyticalConsultingGeneticsCMEMarketing strategy,2 Days Ago,2024-11-24,Not disclosed
429,Zonal Sales Manager - Chandigarh,Dr Lal PathLabs,Chandigarh,10-15 Yrs,Strategic Sales Planningzonal sales managerZsmMarket ExpansionSales ManagementStrategic SalesSalesMarketing,2 Days Ago,2024-11-24,15-20 Lacs PA
430,Staff Nurse,Bangalore West Lions Eye Hospital Cornea Grafting Centre,Bengaluru,3-7 Yrs,opdhealth care servicesemergency medicinegnmnursingmedicinepatient carehealthcare,30+ Days Ago,2024-11-24,Not disclosed
431,Looking For Instrumentation Engineer For OSD Manufacturing Facility,Zydus Lifesciences,Ahmedabad,5-8 Yrs,AutomationPLCInstrumentationInstrumentation EngineeringField InstrumentationSCADAEngineeringManufacturing,2 Days Ago,2024-11-24,6-12 Lacs PA
432,Territory Manager,Dr Reddys,Thiruvananthapuram,3-6 Yrs,pharmaceuticalanalyticalmarketing strategiesinterpersonal skillskolsales strategysalesretail,2 Days Ago,2024-11-24,Not disclosed
433,Territory Manager,Dr Reddys,Gaya,3-6 Yrs,pharmaceuticalanalyticalmarketing strategiesinterpersonal skillskolsales strategysalesretail,2 Days Ago,2024-11-24,Not disclosed
434,Territory Manager,Dr Reddys Path Labs,Patna,5-6 Yrs,Product managementProduct launchExpense managementAnalyticalConsultingGeneticsCMEMarketing strategy,2 Days Ago,2024-11-24,Not disclosed
435,Territory Manager,Dr Reddys Path Labs,Raipur,5-6 Yrs,Product managementProduct launchExpense managementAnalyticalConsultingGeneticsCMEMarketing strategy,2 Days Ago,2024-11-24,Not disclosed
436,B2B Sales Manager (Contract Manufacturing),Nureca Limted,Chandigarh,5-7 Yrs,Contract ManufacturingThird Party ManufacturingOutsourcingB2B SalesContractsManagementManufacturingSales,2 Days Ago,2024-11-24,Not disclosed
437,Power Platform Specialist,AstraZeneca India Pvt. Ltd,Chennai,4-6 Yrs,Cloud computingHP data protectorIntegration testingJavascriptUnit testingmicrosoftUser acceptance testingTechnical support,2 Days Ago,2024-11-24,Not disclosed
438,"Librarian Jr. Associate, Content Centre Operations",AstraZeneca India Pvt. Ltd,Chennai,0-3 Yrs,Analytical skillsOperations ManagerManagementPowerpointJunior AssociateRecruitmentContent OperationsAnalytics,3 Days Ago,2024-11-24,Not disclosed
439,Medical Transcription,Fortis,Gurugram,0-2 Yrs,Medical TranscriptionMedical UnderwritingUnderwritingMedicalTranscription,5 Days Ago,2024-11-24,Not disclosed
440,Patient Co-ordinator,Dr. Holla's Vitiligo Centre Pvt. Ltd.,Bengaluru,1-2 Yrs,AdministrationUsageInsurance claimsComplianceRecords managementBillingHealthcareScheduling,30+ Days Ago,2024-11-24,Not disclosed
441,Assistant Manager - Facility Compliance,Abbott,Jhagadia,0-5 Yrs,Supply chainEHSSAPTeam managementNutritionAutoCADEnergy conservationProject management,4 Days Ago,2024-11-24,Not disclosed
442,Endodontist Bangalore(JP Nagar Zone),Clove Dental,Bengaluru,1-4 Yrs,rctscalingoral surgerydentistryradiologybleachingrpdrestorative dentistry,30+ Days Ago,2024-11-24,Not disclosed
443,Consultant,Bangalore West Lions Eye Hospital Cornea Grafting Centre,Bengaluru,1-3 Yrs,pharmaceuticalproject managementdata analysishealth care servicesgnmbusiness analysismedicinenursing,30+ Days Ago,2024-11-24,Not disclosed
444,Patient Care Assistant,Bangalore West Lions Eye Hospital Cornea Grafting Centre,Bengaluru,3-6 Yrs,patient safetydata analysispatient relationsdrug safetyhealthcare managementnursingnabhhospital administration,30+ Days Ago,2024-11-24,Not disclosed
445,Urgently required Consultant - Orthopedics- Narayana Hospital- Kolkata,Narayana Health (NH),Kolkata,5-10 Yrs,Consultant OrthopedicsMS OrthopedicsFellowship OrthopedicsOrthopedicsConsultant Orthopedics KolkataHospitalMicrosoftConsulting,1 Day Ago,2024-11-24,35-60 Lacs PA
446,Optometrist,Bangalore West Lions Eye Hospital Cornea Grafting Centre,Bengaluru,3-7 Yrs,glaucomaparamedic activitiesdiagnosisretail salesbusiness developmentpatient careopticscataract surgery,30+ Days Ago,2024-11-24,Not disclosed
447,Associate IT Developer - Webmethods,Medtronic,Hyderabad,0-3 Yrs,MS SQLWebmethodsDb2CodingXMLHTTPInformaticaOracle,3 Days Ago,2024-11-24,Not disclosed
448,ERP Project Management Office,Merck,Bengaluru,2-6 Yrs,Business communicationAdministrationERPProject managementTraining need analysisBudgetingManagementJIRA,30+ Days Ago,2024-11-24,Not disclosed
449,Accountant / Cashier,Bangalore West Lions Eye Hospital Cornea Grafting Centre,Bengaluru,3-6 Yrs,accounts receivablebalance sheettdsaccounts payablecash bookgeneral accountinggsttax calculation,30+ Days Ago,2024-11-24,Not disclosed
450,"Urgent Requirement OT, ICU, Ward-Nurse@ Fortis Escorts Faridabad",Fortis,Faridabad,19 Nov - 28 Nov,OTICURequirements,5 Days Ago,2024-11-24,Not disclosed
451,Expert - Maintenance,Merck,Bengaluru,4-9 Yrs,EHSHVACPumpsRisk assessmentPower distributionSensorsRefrigerationContinuous improvement,30+ Days Ago,2024-11-24,Not disclosed
452,Medical Sales Representative,Randstad India,"Kolkata, Bongaon, Asansol",0-1 Yrs,Pharmaceutical SalesPharma SellingSales And MarketingPharma MarketingSellingMedicalSalesMarketing,5 Days Ago,2024-11-24,2-3.25 Lacs PA
453,Senior Resident - Orthopaedics @ Fortis Hospital Ludhiana,Fortis,Ludhiana,0-2 Yrs,OrthopedicsOrthopaedic SurgerySeniorOrthopaedicsSurgeryOrthopedicHospital,5 Days Ago,2024-11-24,Not disclosed
454,Hiring For Chief of Lab,Dr Lal PathLabs,Moradabad,0-5 Yrs,pathologistDCPPathologyHistopathologyHaematologyHematologycytopathologyMd Pathology,5 Days Ago,2024-11-24,Not disclosed
455,Senior Resident Orthopedics,Fortis,Gurugram,0-2 Yrs,OrthopedicsorthopeadicsOrtho surgeryOrthoSeniorSurgery,4 Days Ago,2024-11-24,Not disclosed
456,Specialist,Merck,Bengaluru,4-9 Yrs,AdministrationGoogle AnalyticsNetworkingCampaign managementSocial mediaProject managementAnalyticalOutsourcing,30+ Days Ago,2024-11-24,Not disclosed
457,Mgr Application Development,Watson Pharama,Bengaluru,7-12 Yrs,AutomationProduction supportData modelingDatabase designSSRSApplication developmentInformaticaStored procedures,30+ Days Ago,2024-11-24,Not disclosed
458,Consultant-Head and Neck Onco Surgeon- NH Kolkata,Narayana Health (NH),"Kolkata, Howrah",3-8 Yrs,Head and Neck Onco SurgeonMCh -Head and Neck Onco SurgerySurgical OncologySurgicalMchOncologyHeadingSurgery,1 Day Ago,2024-11-24,40-80 Lacs PA
459,Consultant Neurosurgery- NH Hospital- Kolkata,Narayana Health (NH),Kolkata,3-5 Yrs,DNB NeurosurgeonConsultant NeurosurgeonNeurosurgeonMCh NeurosurgeonMchHospitalNeurosurgeryDNB,1 Day Ago,2024-11-24,37.5-60 Lacs PA
460,Finance Operation Admin II,Watson Pharama,Bengaluru,1-3 Yrs,AutomationExcelPharmaInvoice processingCash flowMS OfficeOperationsAnalytics,30+ Days Ago,2024-11-24,Not disclosed
461,Clinical Trial Feasibility Specialist,Merck,Bengaluru,1-3 Yrs,CROInterpersonal skillsOperations planningPharmaAnalyticalClinical trialsclinical developmentResearch,30+ Days Ago,2024-11-24,Not disclosed
462,Patient Call centre - Bangalore,Indegene,Bengaluru,1-5 Yrs,Patient CounsellingPatient CarePatient EducationCounsellingEducationCalling,8 Days Ago,2024-11-24,Not disclosed
463,Homeopathy Pharmacist,1mg,Nelamangala,15 Nov - 24 Nov,Homeopathy ClinicHomeopathy PharmacyGood Communication In EnglishDispensingHomeopathyPharmacyEnglishCommunication skills,8 Days Ago,2024-11-24,3-4 Lacs PA
464,Assistant Manager / Deputy Manager - IRA US Market,Zydus Lifesciences,Ahmedabad(Vaishnodevi Circle),7-12 Yrs,USFDARegulatory AffairsAndaNDAUS marketRegulatoryMarketingManagement,1 Day Ago,2024-11-24,8-13 Lacs PA
465,Supervisor - Housekeeping (Walk - In Interview ),"Fortis Hospital, Manesar, Gurugram",Manesar,22 Nov - 01 Dec,HousekeepingHotel ManagementHospital Hotel ManagementHousekeeping ManagementFacility ManagementHotelInterviewingManagement,1 Day Ago,2024-11-24,Not disclosed
466,Psychological Counsellor,Star Fertility,"Tirupati, Kurnool, Hanamkonda",2-4 Yrs,PsychologyTeluguInterpersonal CommunicationProblem SolvingConvincing PowerCounsellingInterpersonal SkillsInterpersonal Skill,2 Days Ago,2024-11-24,Not disclosed
467,Specialist - Regulatory CMC,Merck,Bengaluru,1-3 Yrs,Business communicationNetworkingEDMSManufacturing processPharmaAnalyticalProject managementGMP,30+ Days Ago,2024-11-24,Not disclosed
468,Svs Center Operations Specialist II,Watson Pharama,Bengaluru,2-7 Yrs,Supply chainProcurementPurchaseOperations ManagerRFXPharmaStakeholder managementContinuous improvement,30 Days Ago,2024-11-24,Not disclosed
469,Territory Sales Executive/Manager | Bongaigaon| Bhubaneswar| Ranaghat,Dr Lal PathLabs,"Bhubaneswar, Ranaghat, Bongaigaon",0-5 Yrs,doctor visitChannel SalesB2B SalesPharmaceutical SalesSalesHealthcare SalesTerritory SalesDiagnostics,7 Days Ago,2024-11-24,Not disclosed
470,Territory Sales Executive/Manager | Muktsar| Ropar| Punjab,Dr Lal PathLabs,"Ludhiana, Chandigarh, Muktsar",0-5 Yrs,Territory Salesdiagnostic salesnetwork salesB2B SalesSalesHealthcare Salesdoctor visitDiagnostics,7 Days Ago,2024-11-24,Not disclosed
471,Territory Sales Executive/Manager | Moga | Mansa |Fazilka,Dr Lal PathLabs,"Fazilka, Mansa, Moga",0-5 Yrs,Territory Salesdiagnostic salesnetwork salesB2B SalesSalesHealthcare Salesdoctor visitDiagnostics,7 Days Ago,2024-11-24,Not disclosed
472,Senior Specialist Regulatory Project Management Office,Merck,Bengaluru,4-9 Yrs,Business administrationDemand planningProject managementPharmaDemand forecastingResourcingTASStrategic sourcing,30+ Days Ago,2024-11-24,Not disclosed
473,Anesthesiologist (MD/ DNB/ DA)- Narayana Hrudayalaya Kolkata & Howrah,Narayana Health (NH),"Kolkata, Howrah",0-3 Yrs,MD AnesthesiaDiploma AnesthesiaDNB AnesthesiaCritical CareAnesthesiologyAnesthesiaICUIntensive Care,1 Day Ago,2024-11-24,Not disclosed
474,Specialist - Regulatory Affairs Manager,Merck,Bengaluru,4-9 Yrs,MatrixComplianceEDMSPharmaGMPRegulatory affairslicense managementSupervision,30+ Days Ago,2024-11-24,Not disclosed
475,Senior Specialist/Specialist - SEM,Merck,Bengaluru,7-10 Yrs,Business administrationAnalytical skillsPPCSearch engine marketingSEMSEOProject deliveryMarketing communication,30+ Days Ago,2024-11-24,Not disclosed
476,Manager EHS Function,Teva Pharmaceuticals,Chandpur,12-15 Yrs,EHSEHS managementManagementFunctional,1 Day Ago,2024-11-24,Not disclosed
477,Quality Analyst III,Watson Pharama,Bengaluru,10-12 Yrs,Supply chainComplianceManufacturing processQMSSupply chain operationsPackagingProcess Quality AnalystOperations,30+ Days Ago,2024-11-24,Not disclosed
478,Senior Specialist - Direct Purchasing ERP/MRP,Merck,Bengaluru,3-7 Yrs,Supply chainMS Office packageERPSAPProcess planningAnalyticalStandard operating proceduresBusiness process analysis,22 Days Ago,2024-11-24,Not disclosed
479,Senior Analyst - Direct Purchasing,Merck,Bengaluru,4-9 Yrs,Supply chainMS Office packageAnalystERPSAPProcess planningAnalyticalStandard operating procedures,22 Days Ago,2024-11-24,Not disclosed
480,"Patient Co-ordinator, Secratary & Front Office Manager",Dr. Holla's Vitiligo Centre Pvt. Ltd.,Bengaluru,1-4 Yrs,Administration managementAdministrationFront officeExcelSecretaryCustomer serviceDoctorManagement,30+ Days Ago,2024-11-24,Not disclosed
481,Senior Analyst/Specialist - SDS Authoring,Merck,Bengaluru,1-3 Yrs,Product AnalystOrganic chemistryAnalystBiotechnologyInterpersonal skillsSAPSDSChemical,18 Days Ago,2024-11-24,Not disclosed
482,Analyst,Merck,Bengaluru,1-3 Yrs,BiotechnologyAnalystBackendChemistrySAPMicrobiologyBiochemistryLife sciences,18 Days Ago,2024-11-24,Not disclosed
483,Associate Medical Writer,Novo Nordisk,Bengaluru,2-7 Yrs,Business servicesMedical affairsData analysisDocument reviewPharmaProtocol developmentHealthcareLife sciences,30+ Days Ago,2024-11-24,Not disclosed
484,Sales Representative II-Bangalore-Diabetes,Medtronic,Bengaluru,1-4 Yrs,Direct salesMarket developmentSales strategySales RepresentativeHealthcareMarket researchManagementTalent management,18 Days Ago,2024-11-24,Not disclosed
485,Senior Analyst - System Admin,Merck,Bengaluru,1-3 Yrs,Performance tuningERPData analysisquery optimizationMS AccessOperationsSQLPython,22 Days Ago,2024-11-24,Not disclosed
486,Staff Nurse,Dr. Holla's Vitiligo Centre Pvt. Ltd.,Bengaluru,1-2 Yrs,Staff Nurse,30+ Days Ago,2024-11-24,Not disclosed
487,Lead Clinical Research Associate,PSI Cro,Bengaluru,2-6 Yrs,TrainingSite managementPharmaceuticsClinical researchClinical Research AssociateLife sciencesSite monitoringMS Word,30+ Days Ago,2024-11-24,Not disclosed
488,Child Psychiatrist,Mind & Brain Health Care,Bengaluru,0-2 Yrs,SIDEMonitoringTestingSoftware testingPsychiatry,30+ Days Ago,2024-11-24,Not disclosed
489,Dialysis Medical Officer,DCDC KIDNEY CARE (DCDC ),"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-4 Yrs,HealthcareManagementMS OfficeDialysisMicrosoftOfficeMedical,2 Days Ago,2024-11-24,Not disclosed
490,Analyst- Category Intelligence,Novo Nordisk,Bengaluru,6-10 Yrs,procurement intelligenceMarket Analysiscategory intelligenceSpend AnalysisStrategic SourcingMarket IntelligenceSourcingMarketing,17 Days Ago,2024-11-24,10-16 Lacs PA
491,Hiring For Chief of Lab || Hamirpur,Dr Lal PathLabs,Hamirpur,0-5 Yrs,PathologyDCPHaematologyPathologistHistopathologyHematologyCytologyMd Pathology,5 Days Ago,2024-11-24,Not disclosed
492,Associate Trainee,Kimberly-Clark Corporation,Chittoor,0-2 Yrs,KaizenLean manufacturingQuality systemsShop floorMISPackagingGMPTroubleshooting,4 Days Ago,2024-11-24,Not disclosed
493,Job | Attractive opportunity For Radiologist - Jamshedpur,Randstad,Jamshedpur,0-5 Yrs,RadiologistRadiology,3 Days Ago,2024-11-24,30-45 Lacs PA
494,Retina and Senior Phaco(Cataract Surgeon) South,Randstad,"Kochi, Hubli, Kottayam",0-5 Yrs,OphthalmologyPhacoSeniorSurgeryRetinaPlastic SurgeryCataract Surgery,3 Days Ago,2024-11-24,30-40 Lacs PA
495,Performance Analytics Manager,Philips,Bengaluru,7-11 Yrs,advanced analyticsExcelBusiness analyticsDiversity and InclusionHealthcareData qualityData analyticsCustomer engagement,16 Days Ago,2024-11-24,Not disclosed
496,Regional Project Lead (Clinical Trials),PSI Cro,Bengaluru,6-11 Yrs,Site selectionProject managementGastroenterologyClinical trialsOncologyLife sciencesProject planningMS Office,30+ Days Ago,2024-11-24,Not disclosed
497,Call Centre Executive,Paramount Health Services,"Hyderabad, Chennai, Amritsar, Bathinda, Moga, Mohali, Mumbai Suburban, Patiala, Thane, Pune, Ahmedabad, Bengaluru, Vadodara",0-3 Yrs,MedicalDoctorHospitalCalling,30+ Days Ago,2024-11-24,Not disclosed
498,Physiotherapist Consultant,Qi Lifecare,"Hyderabad, Pune, Mumbai (All Areas)",0-4 Yrs,PhysiotherapyMPTMusculoskeletal PhysiotherapySpinePhysical TherapyOrthopedicsBptConsulting,26 Days Ago,2024-11-24,3-4.75 Lacs PA (Including Variable: 15.0%)
499,Technician.Operation Theatre,Aster Pharmacy,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-3 Yrs,Operation theatreTheatreOperations,2 Days Ago,2024-11-24,Not disclosed
500,Marketing Executive (Medical Representative),Tablets India Ltd.,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-2 Yrs,medical writingmedical salespharmaceuticalpharma marketingbusiness developmentmedical affairspharmacovigilanceresearch,2 Days Ago,2024-11-24,Not disclosed
502,Apprentice,Piramal Pharma Limited,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-1 Yrs,HousekeepingTrainingDrillingShop floorIndentingProduction schedulingRaw materialPreventive maintenance,2 Days Ago,2024-11-24,Not disclosed
503,Medical Representative,Healthok Global,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-2 Yrs,Health insurancetelemedicineNursingSalesPharmacyHealthcareWellnessLife sciences,30+ Days Ago,2024-11-24,Not disclosed
504,Homeopathic Doctor,Health Total,"Mumbai, Delhi, Pune, Bengaluru",1-6 Yrs,Homeopathic DoctorDiagnosticsnutraceuticalsConsultingqueryFounder DirectorInvestigationWellness,30+ Days Ago,2024-11-24,Not disclosed
505,Therapist,Nuayurveda Clinic,"Mumbai, Delhi, Pune, Bengaluru",0-3 Yrs,AprDECAyurvedic DoctorProfit Center HeadShapingCustomer serviceSupervisionMAR,30+ Days Ago,2024-11-24,Not disclosed
506,Center Doctor,Nuayurveda Clinic,"Mumbai, Delhi, Pune, Bengaluru",0-3 Yrs,AprDECAyurvedic DoctorProfit Center HeadShapingCustomer serviceSupervisionMAR,30+ Days Ago,2024-11-24,Not disclosed
507,Centre Manager,Health Total,"Mumbai, Delhi, Pune, Bengaluru",2-7 Yrs,Client satisfactionSalesPatient careWellnessCustomer serviceBudgetingDoctorService quality,30+ Days Ago,2024-11-24,Not disclosed
508,Nutritionists,Health Total,"Mumbai, Delhi, Pune, Bengaluru",1-6 Yrs,TrainingNutritionnutraceuticalsConsultingqueryFounder DirectorWellnessClient relationship,30+ Days Ago,2024-11-24,Not disclosed
509,Business Development Officer,Healing Pharma,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-9 Yrs,TrainingSales strategySalesPDFBusiness expansionPharmaDatabaseBrand awareness,2 Days Ago,2024-11-24,Not disclosed
510,Principal Statistical Programmer FSP,Cytel Statistical Software &amp;amp;amp; Services Pvt. Ltd.,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-5 Yrs,UnixComputer scienceSAPLinuxSASPharmaXMLClinical trials,29 Days Ago,2024-11-24,Not disclosed
511,Senior Statistical Programmer FSP,Cytel,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",8-10 Yrs,Computer sciencedata manipulationXMLAnalyticalPharmaClinical trialsISSOncology,30 Days Ago,2024-11-24,Not disclosed
512,Senior Statistical Programmer FSP,Cytel,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",8-9 Yrs,Computer sciencedata manipulationPharmaAnalyticalXMLClinical trialsISSOncology,30 Days Ago,2024-11-24,Not disclosed
513,Principal Statistical Programmer FSP,Cytel,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",7-9 Yrs,UnixComputer scienceCROLinuxSASPharmaXMLClinical trials,30 Days Ago,2024-11-24,Not disclosed
514,Principal Biostatistician FSP,Cytel Statistical Software &amp;amp;amp; Services Pvt. Ltd.,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-6 Yrs,AutomationAnalyticalPharmaMachine learningClinical trialsclinical developmentSAS ProgrammingForecasting,29 Days Ago,2024-11-24,Not disclosed
515,Technician.Operation,Aster Medcity,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-13 Yrs,erectionrepairproject managementfabricationpreventive maintenanceequipmentbreakdown analysisinventory,2 Days Ago,2024-11-24,Not disclosed
516,Senior Cloud Engineer,Cytel,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-4 Yrs,Computer scienceChange managementAutomationPowershelldevopsDebuggingCloudInfrastructure,30 Days Ago,2024-11-24,Not disclosed
517,Safety Officer,Hsseq Global,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-5 Yrs,Safety trainingManagementAuditingTrainingSafety,30+ Days Ago,2024-11-24,Not disclosed
518,Customer Success Manager,Carrot Fertility,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-8 Yrs,AutomationBloombergProject managementAnalyticalHealthcareAccount managementContinuous improvementCRM,30+ Days Ago,2024-11-24,Not disclosed
519,Sales Operation Specialist,Sol-millennium,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-5 Yrs,Supply chainERPSAPPharmaCosmeticsCustomer serviceOracleOrder processing,30+ Days Ago,2024-11-24,Not disclosed
520,Paid Media Specialist,Trialfacts,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-3 Yrs,TrainingMedical devicesQuality improvementPharmaSocial mediaClinical trialsGoogle AdWordsResearch,30+ Days Ago,2024-11-24,Not disclosed
521,Safety Senior Supervisor,Hsseq Global,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",5-10 Yrs,ChemicalComplianceSafety trainingHazard identificationInvestigationManagementSafety SupervisorAuditing,30+ Days Ago,2024-11-24,Not disclosed
522,Shift Incharge / SFO,Hsseq Global,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",4-9 Yrs,Stock managementStaffingInventory managementSchedulingManager Quality ControlCustomer serviceEquipment maintenanceOperations,30+ Days Ago,2024-11-24,Not disclosed
523,Pharmacovigilance (Fresher),Cliniweb Services,"Pune, Ahmedabad, Mumbai (All Areas)",0 Yrs,Clinical ResearchMedical WritingPharmacovigilanceClinical Data ManagementClinical TrialsMedical CodingClinical DataClinical,1 Day Ago,2024-11-24,Not disclosed
524,Research Associate Organic Synthesis,Kemio Solutions,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-3 Yrs,Organic synthesisOrganic chemistryMedicinal chemistryResearch AssociateSynthesisResearchChemistry,30+ Days Ago,2024-11-24,Not disclosed
525,CNC Machinist,Manman,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-5 Yrs,DrillingBasicFinished productsMechanicalSiemensProgrammingCNC OperatorMachinery,30+ Days Ago,2024-11-24,Not disclosed
526,Marketing Executive/Manager,Dr Agravat Group,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",1-3 Yrs,UsageCOnline marketingSocial mediaCorporateConsultingHealthcareHTML,30+ Days Ago,2024-11-24,Not disclosed
527,Export Manager - 1,Medilivescare Manufacturing,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",4-9 Yrs,SurgicalExport salesExport managementSalesExportManagement,30+ Days Ago,2024-11-24,Not disclosed
528,UI/UX Designer,Bioworx,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-6 Yrs,Computer scienceSoftware designUsageWeb technologiesIllustratorTime managementMobile applicationsPhotoshop,30+ Days Ago,2024-11-24,Not disclosed
529,Manager/Assistant Manager Sales/Business Development,Healthcubed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-8 Yrs,Medical devicesSales planningSalesNetworkingProduct serviceHealthcareMarket researchScheduling,30+ Days Ago,2024-11-24,Not disclosed
530,Lead Fireman,Hsseq Global,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-7 Yrs,Fire preventionLaw enforcementFiremanInspectionTraining and DevelopmentManagementResource managementSupervision,30+ Days Ago,2024-11-24,Not disclosed
