,roles,companies,locations,experience,salary,Dates,PresentDate,skills
610,Full Stack Developer,Global Pharma Tek,Hyderabad,4-6 Yrs,Not disclosed,20 Days Ago,2024-11-24,Full Stack Developmentsoftware developmentsoftware analysissoftware codingFullstack DevelopmentCodingFull StackStack
611,Cockpit Audio / Sound Algorithm Developer,Global Pharma Tek,Bengaluru,4-6 Yrs,Not disclosed,20 Days Ago,2024-11-24,Cockpit Audio EngineeringC++Spectrum AnalyzerCaudio signal processingAudio AnalyzerAcoustical EngineeringEngineering
612,Core Embedded Software Developer,Global Pharma Tek,Bengaluru,4-6 Yrs,Not disclosed,20 Days Ago,2024-11-24,Embedded SoftwareCSoCARMEmbedded Software DevelopmentPower validationSoftwareCore
613,MS SQL DBA,Global Pharma Tek,Bengaluru,8-10 Yrs,Not disclosed,20 Days Ago,2024-11-24,MS SQLWindows serverT-SQLproblem queue managementSSRSdatabase serversSQL ServerSSIS
614,SAP Basis Professional,Global Pharma Tek,Bengaluru,10-14 Yrs,Not disclosed,20 Days Ago,2024-11-24,SAP Basisbusiness engagementconfigurationSAP Solutionsproject deliveryStakeholder managementEngagementBasis
615,Azure Developer,Global Pharma Tek,Hyderabad,7-9 Yrs,Not disclosed,20 Days Ago,2024-11-24,Azure Data FactoryPySparkMetadataAzure DatabricksStored procedurePerformance TuningSQLStored procedures
616,.Net Deploy & Release Engineer,Global Pharma Tek,Bengaluru,8-12 Yrs,Not disclosed,20 Days Ago,2024-11-24,.NetCSSDevOpsJavaScriptMySQLJava Spring bootCI/CDHTML
617,Static Timing Analysis Professional,Global Pharma Tek,Hyderabad,3-7 Yrs,Not disclosed,20 Days Ago,2024-11-24,Static Timing AnalysisFormal Verificationphysical designmemory modelsStaticTimingTiming analysisAnalysis
618,Software Engineer ( Windows Device Driver Development ),Global Pharma Tek,Bengaluru,2-6 Yrs,Not disclosed,20 Days Ago,2024-11-24,Windows Device Driver DevelopmentWin32DasmDesign PatternsOOADdebuggingMultithreading appskernel programmingWin32 programming
619,Cyber Security Consultant-CSRO,Global Pharma Tek,Bengaluru,12-16 Yrs,Not disclosed,20 Days Ago,2024-11-24,Cyber Securityrisk assessmentAzureCNAPPCSPMcloud securityCloud ManagementDynamoDB
620,AIML Data Engineer,Global Pharma Tek,Bengaluru,2-4 Yrs,Not disclosed,20 Days Ago,2024-11-24,PythonJavaAzurePyTorchHadoopKafkaSparkApache
621,Jira Administrator,Global Pharma Tek,Hyderabad,2-6 Yrs,Not disclosed,20 Days Ago,2024-11-24,JiraMDXJIRA PluginsSystem AdministrationZephyr ScaleLinux OS AdministrationSystemPlugins
622,Design & Verification Professional - GLS Experience,Global Pharma Tek,Hyderabad,3-5 Yrs,Not disclosed,20 Days Ago,2024-11-24,UVMcoverage analysisPAGLSGLSVerificationDesignCode CoverageAnalysis
623,Linux BSP Development Professional,Global Pharma Tek,Hyderabad,3-5 Yrs,Not disclosed,20 Days Ago,2024-11-24,Linux BSP DevelopmentRTOSLinuxEmbedded LinuxOpenGLLinux BSPEmbedded systemsDevelopment
624,Sr. Software C++ Engineer,Global Pharma Tek,Bengaluru,3-6 Yrs,Not disclosed,20 Days Ago,2024-11-24,C++MQTTscriptingpythonDesign PatternsDNSNetwork TopologyDHCP
625,Fortinet (L3) firewalls Professional,Global Pharma Tek,Bengaluru,3-6 Yrs,Not disclosed,20 Days Ago,2024-11-24,firewall managementtcpnetwork securityLinuxincident managementtroubleshootinginventory managementIncident
626,GCP Cloud Engineer,Global Pharma Tek,Hyderabad,3-6 Yrs,Not disclosed,20 Days Ago,2024-11-24,GCPsecurity compliancenetwork securitySCRUMITILAgile principlesKanbanGCP Cloud
627,InfoSecurity Analysts,Global Pharma Tek,Bengaluru,5-7 Yrs,Not disclosed,20 Days Ago,2024-11-24,InfoSecurityrisk managementcomplianceCyber securityrisk analysisCISMRiskAnalysis
628,BGSW_BAN_S4HANA_ABAP_With_HCM_Fiori_Lead,Global Pharma Tek,Bengaluru,4-8 Yrs,Not disclosed,20 Days Ago,2024-11-24,ABAPSAP Web IDESOAWebservicesSOAPSAP Succesfactors HCM suite architectureBusiness Application StudioSCPI
629,Cockpit HMI SW Developer,Global Pharma Tek,Bengaluru,4-6 Yrs,Not disclosed,20 Days Ago,2024-11-24,Cockpit HMIJenkinsGitGerritOpenGLOpenGL ESAgileGraphics frameworks
630,Cockpit SW Architect,Global Pharma Tek,Bengaluru,4-8 Yrs,Not disclosed,20 Days Ago,2024-11-24,Cockpit SWC#JavaMicrocontrollersGDBGerritJIRAOSS
631,ASIC RTL Design Professional,Global Pharma Tek,Hyderabad,4-8 Yrs,Not disclosed,20 Days Ago,2024-11-24,ASICSynopsys DCpythonVerdishellXceliumUARTPerl
632,.NET Developer,Global Pharma Tek,Bengaluru,5-7 Yrs,Not disclosed,20 Days Ago,2024-11-24,.NETC#AzureGit Version controlVisual StudioMicrosoft unit test frameworkAzure DevOps.NET Core
633,.Net Azure Professional,Global Pharma Tek,"Kochi, Bengaluru",5-7 Yrs,Not disclosed,20 Days Ago,2024-11-24,.NetAzureOAuth authorization frameworkGraphQLCI/CDAzure APIMSOAPAPI management
634,Dynamics CRM Professional,Global Pharma Tek,Bengaluru,5-7 Yrs,Not disclosed,20 Days Ago,2024-11-24,Dynamics CRM.Net coreC#Performance TestingWeb APIUnit TestingRest APIDynamics 365 CRM Dataverse
635,DevOps Engineer (Kubernetes),Global Pharma Tek,Bengaluru,5-8 Yrs,Not disclosed,20 Days Ago,2024-11-24,DevOpsJenkinsAzurecloud servicesDockerGitLab CIGCECI/CD
636,"CP, Terraform (CI/CD pipeline, IAC) Professional",Global Pharma Tek,Bengaluru,8-10 Yrs,Not disclosed,20 Days Ago,2024-11-24,TerraformGKECloud StorageInterconnect VPNGCEVPCDNSIAC
637,Stores - Head / Manager,Global Pharma Tek,Hyderabad,8-13 Yrs,Not disclosed,20 Days Ago,2024-11-24,Store managementStore planningteam leadingshrinkage controlInventory managementStore operationsOperationsHeading
638,Piping Lead,Global Pharma Tek,Hyderabad,13-16 Yrs,Not disclosed,20 Days Ago,2024-11-24,Piping engineering3D modelingEquipment LayoutPiping stress analysisPiping MTOPiping IsometricsPiping detail engineeringPiping Layout
639,SIEM Engineer,Global Pharma Tek,Bengaluru,2-6 Yrs,Not disclosed,20 Days Ago,2024-11-24,DevOpsdata analyticsdata managementsecurity monitoringsplunksiemSecurityMonitoring
640,Performance Lead or SME,Global Pharma Tek,Hyderabad,10-15 Yrs,Not disclosed,20 Days Ago,2024-11-24,Performance TestingNeoloadPerformance Test ScriptsWebload Silk Performerperformance engineeringPerformanceSoftware testingEngineering
641,"SSIS, SQL Developer",Global Pharma Tek,"Kochi, Hyderabad",2-6 Yrs,Not disclosed,20 Days Ago,2024-11-24,SQLsql developmentdata modelingtelerikdata governancepower bi.netdata migration
642,RBI Engineer,Global Pharma Tek,Bengaluru,3-5 Yrs,Not disclosed,20 Days Ago,2024-11-24,Risk assessmentInspection gradingASMERBI AnalysisThickness MeasurementIntegrity ManagementCorrosion monitoringMeasurement
643,Tech Lead - Network Security,Global Pharma Tek,Bengaluru,10-14 Yrs,Not disclosed,20 Days Ago,2024-11-24,Palo Altonetwork securityqosPrisma AccessbgpnetworkingospfTechnical analysis
644,Sr. Technical Analyst - Developer - NetSuite / AR / O2C,Global Pharma Tek,Hyderabad,6-8 Yrs,Not disclosed,20 Days Ago,2024-11-24,Accounts receivableSuiteScriptNetSuite ERPAlteryxCollectionsOrder to CashInvoicingMuleSoft
645,Piping SP3D Engineer / Designer,Global Pharma Tek,Hyderabad,5-10 Yrs,Not disclosed,20 Days Ago,2024-11-24,SP3DNavisworks3DPiping Detail EngineeringPiping BOQPiping GA drawingsPiping Stress AnalysisPiping Material Engineering
646,Senior Physical Design Engineer,Global Pharma Tek,Hyderabad,3-8 Yrs,Not disclosed,20 Days Ago,2024-11-24,Physical Designingphysical designfloor planningtiming closurestatic timing analysisdrclvsdesign engineering
647,Python Robot API QA engineer,Global Pharma Tek,Bengaluru,7-9 Yrs,Not disclosed,20 Days Ago,2024-11-24,Software Quality AssuranceTest AutomationGitConfluenceRobot FrameworkAPITest DesignJira
648,Senior ASIC / SoC RTL Engineer,Global Pharma Tek,Hyderabad,4-6 Yrs,Not disclosed,20 Days Ago,2024-11-24,ASICphysical designIP designSoCEthernetUARTPCIeRTL
649,MERN Stack Engineer,Global Pharma Tek,Bengaluru,4-6 Yrs,Not disclosed,20 Days Ago,2024-11-24,MERN StackCSSsoftware developmentExpress JSReduxNode JSHTMLMongoDB
650,Sr. Executive-Purchasing,Global Pharma Tek,Bengaluru,7-11 Yrs,Not disclosed,20 Days Ago,2024-11-24,Purchasingcontract managementservice deliveryglobal procurementpurchasebuyer activitiesstrategic purchasingprocure to pay
651,Microsoft Defender / Defender / Endpoint Professional,Global Pharma Tek,Bengaluru,6-10 Yrs,Not disclosed,20 Days Ago,2024-11-24,Microsoft DefenderSOC AnalysisEndpoint SecurityNo SOCinfrastructure EngineeringSOCEngineeringInfrastructure Architecture
652,Software Architect,Global Pharma Tek,Bengaluru,12-16 Yrs,Not disclosed,20 Days Ago,2024-11-24,DevOpsarchitectural designfunctional specificationssparkxmlibm rationalenterprise architectureEnterprise
653,SAP PIPO Professional,Global Pharma Tek,Bengaluru,4-8 Yrs,Not disclosed,20 Days Ago,2024-11-24,SAP PIjavaSAP implementationHTTPSEDI integrationSAP POHTTPPO
654,Service Reliability Engineer,Global Pharma Tek,Bengaluru,7-9 Yrs,Not disclosed,20 Days Ago,2024-11-24,Reliability EngineeringJavaC++AzureCOpenStackService Oriented ArchitectureTerraform
655,Power Platform Solution Architect,Global Pharma Tek,Hyderabad,8-12 Yrs,Not disclosed,20 Days Ago,2024-11-24,Power AppsAzuresolution architecturePower AutomateSQL ServerSharePointSolution Designdata integration
656,Solutions Architect,Global Pharma Tek,Hyderabad,10-14 Yrs,Not disclosed,20 Days Ago,2024-11-24,Solution Architectureproposal writingdocumentationProject AccountingGeneral LedgerCash ManagementMS Dynamics 365Accounts Payable
657,RF Designing Professional,Global Pharma Tek,Hyderabad,3-5 Yrs,Not disclosed,20 Days Ago,2024-11-24,RF DesigningRadar SystemSystem DesignRF PCB LayoutsOrCAD captureCST studioANSYS HFSSDesign
658,Senior Electrical Engineer,Global Pharma Tek,Hyderabad,3-7 Yrs,Not disclosed,20 Days Ago,2024-11-24,Electrical Engineeringtender preparationearthingbom preparationdialuxlighting designTenderingEngineering
659,PHP & Python professional,Global Pharma Tek,Bengaluru,2-5 Yrs,Not disclosed,20 Days Ago,2024-11-24,PHPcsspythonOOPshtmljavascriptjquerysql server
660,MLOps Specialist,Global Pharma Tek,Bengaluru,2-5 Yrs,Not disclosed,20 Days Ago,2024-11-24,Machine Learningcontainerizationalgorithmssoftware developmentdata scienceairflowcloud developmentaws
661,Project Management Professional,Global Pharma Tek,Hyderabad,3-6 Yrs,Not disclosed,20 Days Ago,2024-11-24,Project ManagementangularAutoCADproject documentationproject deliveryDocumentationManagementProject
662,Integrity Data Engineer,Global Pharma Tek,Bengaluru,2-6 Yrs,Not disclosed,20 Days Ago,2024-11-24,Data engineeringexceldata qualitydata managementdata maintenanceManagementDataQuality
663,Senior Azure Data Engineer,Global Pharma Tek,Hyderabad,3-6 Yrs,Not disclosed,20 Days Ago,2024-11-24,Data EngineeringAzure SynapseData ModellingData FactoryData Warehouse StrategyAzure DataAzure Data bricksSQL
664,Software Developer Engineer,Global Pharma Tek,Hyderabad,3-6 Yrs,Not disclosed,20 Days Ago,2024-11-24,Software DevelopmentMavenCSSWaterfallJBossHTMLSQLJenkins
665,Senior Firmware Engineer - Linux,Global Pharma Tek,Hyderabad,3-7 Yrs,Not disclosed,20 Days Ago,2024-11-24,Firmware EngineeringMS AzureARM processorsGITLinuxEmbedded LinuxSVNdriver development
666,Cisco ISE (L3) Professional,Global Pharma Tek,Bengaluru,6-9 Yrs,Not disclosed,20 Days Ago,2024-11-24,SQLl3troubleshootingnetworkingioschange managementcisco wirelessIo
667,SAP SD Professional,Global Pharma Tek,Hyderabad,3-5 Yrs,Not disclosed,20 Days Ago,2024-11-24,SAP SDOrder managementSAPgap analysisbillingOrder fulfillmentSapsManagement
668,Oracle SOA Developer,Global Pharma Tek,Hyderabad,5-9 Yrs,Not disclosed,20 Days Ago,2024-11-24,Oracle SOAoracle service bussoa bpelsoaweb servicesxsdsqlwsdl
669,Oracle NetSuite Technical Consultant,Global Pharma Tek,Hyderabad,6-8 Yrs,Not disclosed,20 Days Ago,2024-11-24,Oracle NetSuiteCeligoExpense AccountingReconciliationBoomiOracle NetSuite Technical ConsultantSuite ScriptMuleSoft
670,PL SQL & Linux & Scripting Professional,Global Pharma Tek,Bengaluru,6-10 Yrs,Not disclosed,20 Days Ago,2024-11-24,PL/SQLChange Managementproduction supportServiceNowOracle infrastructureLinuxJBossProblem Management
671,SAP EWM Professional,Global Pharma Tek,Bengaluru,5-7 Yrs,Not disclosed,20 Days Ago,2024-11-24,SAPMDGSAP EWMALESAP ASAP methodologyIDOCData Replication FrameworkFramework
672,Sr. Layout Design Engineer,Global Pharma Tek,Bengaluru,8-10 Yrs,Not disclosed,20 Days Ago,2024-11-24,Layout DesignantennaCMOSCAD methodologiesLinuxC-shellLayout EngineeringPerl
673,SAP SRM Consultant,Global Pharma Tek,Bengaluru,7-9 Yrs,Not disclosed,20 Days Ago,2024-11-24,SAP SRMAgileSCMP2PSRMSAPConsultingSaps
674,Software Engineer Specialist,Global Pharma Tek,Bengaluru,10-14 Yrs,Not disclosed,20 Days Ago,2024-11-24,Software EngineeringC#.Net Full stackMaterial DesignLINQTypescriptXMLNPM
675,S4HANA_ABAP_Migration_Manager,Global Pharma Tek,Bengaluru,10-14 Yrs,Not disclosed,20 Days Ago,2024-11-24,S4Hanasnpbusiness objectsbusiness analysisclient managementdata migrationsap abaptechnical solution design
676,Java Architect,Global Pharma Tek,Bengaluru,8-13 Yrs,Not disclosed,20 Days Ago,2024-11-24,Javaspringangularuser interface designingbootstrapjeehibernatejavascript
677,DQA professional,Global Pharma Tek,Hyderabad,5-6 Yrs,Not disclosed,20 Days Ago,2024-11-24,Product Developmentpharmaceuticspharmacymethod developmentcustomer auditsAuditingMethodsDevelopment
678,Testing Professional,Global Pharma Tek,Hyderabad,2-6 Yrs,Not disclosed,20 Days Ago,2024-11-24,TestingSpectrum AnalyzerRFVector Network AnalyzerOscilloscopeQTPORCADVector
679,Software Development Engineer (Ang+Java),Global Pharma Tek,Bengaluru,1-4 Yrs,Not disclosed,20 Days Ago,2024-11-24,JavaAngularJSRESTAzureCI/CDSpring bootAngularSoftware
680,Airbag HW Near SW Function Specialist,Global Pharma Tek,Bengaluru,2-4 Yrs,Not disclosed,20 Days Ago,2024-11-24,AUTOSARRTCALMGITCANOeJIRACANalyserFunctional
681,DevOps engineer,Global Pharma Tek,Hyderabad,2-6 Yrs,Not disclosed,20 Days Ago,2024-11-24,DevOpscontainerkubernetescontinuous integrationnexusci/cdiacsonar
682,SOC L2 Professional,Global Pharma Tek,Bengaluru,8-12 Yrs,Not disclosed,20 Days Ago,2024-11-24,SOCLDAPInformation securitySIEMvulnerability managementSecurity OperationsUNIXManagement
683,Senior Engineer ( RF Design),Global Pharma Tek,Hyderabad,3-5 Yrs,Not disclosed,20 Days Ago,2024-11-24,RF DesignADSVNAAWRHFSSSpectrumHFDesign
684,Cyber Security Consultant-SOC,Global Pharma Tek,Bengaluru,10-14 Yrs,Not disclosed,20 Days Ago,2024-11-24,Cyber Securitypythoncloud securitynetwork securitythreat intelligencenetworkingbashsiem
685,SAP BW Professional,Global Pharma Tek,Bengaluru,3-5 Yrs,Not disclosed,20 Days Ago,2024-11-24,SAP BWSAP HANASAP SDSAP Business IntelligenceSAP MMSAP PPFICOIntelligence
686,Senior AWS Data Engineering,Global Pharma Tek,Hyderabad,3-5 Yrs,Not disclosed,20 Days Ago,2024-11-24,AWSData ModellingAirflow SchedulerAWS CloudSparkApacheData warehousingPython
687,BI/DW Developers,Global Pharma Tek,Hyderabad,3-7 Yrs,Not disclosed,20 Days Ago,2024-11-24,BI DevelopmentsnowflakePL/SQLsparkscalassisetlOracle
688,Senior Technical Analyst-Developer - Netsuite/EDI/P2P,Global Pharma Tek,Hyderabad,6-8 Yrs,Not disclosed,20 Days Ago,2024-11-24,NetsuiteNetSuite ERPNetsuite Accounts PayablesSPS CommerceNetsuite ERP systemsSupply Chain ManagementEDI integrationsSenior
689,ServiceNow Governance Risk and Compliance ( GRC) Professional,Global Pharma Tek,Bengaluru,3-8 Yrs,Not disclosed,20 Days Ago,2024-11-24,GRCWidget ConfigurationsRESTSOAPPage DesignWeb ServicesSecOps
690,SQL+ Snowflake Professional,Global Pharma Tek,Bengaluru,5-7 Yrs,Not disclosed,20 Days Ago,2024-11-24,SQLSQL developmentsSnowflakeDatabase DeveloperTroubleshootingDatabase DevelopmentDevelopmentDBMS
691,SAP PPDS Professional,Global Pharma Tek,Bengaluru,3-8 Yrs,Not disclosed,20 Days Ago,2024-11-24,SAP PPDSMaterial PlanningMaterial ManagementSAP PPSAP MRPPPDSSAP ImplementationPlanning
692,Workday Integration Senior Consultant,Global Pharma Tek,Bengaluru,5-8 Yrs,Not disclosed,20 Days Ago,2024-11-24,Workday IntegrationPayroll IntegrationsSAPCloud ConnectWD StudioWorkday CCTPPIntegrationWorkday
693,Salesforce CPQ Lead,Global Pharma Tek,Hyderabad,8-12 Yrs,Not disclosed,20 Days Ago,2024-11-24,Salesforce CPQAnalytics CloudsCPQSalesforce.cominvoicingMetadata migrationsCustom Objectsbilling
694,Software Engineer Senior,Global Pharma Tek,Bengaluru,6-10 Yrs,Not disclosed,20 Days Ago,2024-11-24,MVC FrameworkMaterial DesignWeb API.Net CoreHTMLNPMSQL ServerJQuery
695,Pre-Sales Consultant,Global Pharma Tek,Bengaluru,8-12 Yrs,Not disclosed,20 Days Ago,2024-11-24,Pre-SalesHybrid cloudAzureGCPPublic CloudPublic Private cloudAwscloud computing
696,AWS Solution Architect / OS Admin,Global Pharma Tek,Hyderabad,6-11 Yrs,Not disclosed,20 Days Ago,2024-11-24,AWSlinux system administrationcloud servicessystem operationsredhat linuxOperationsLinux SystemOperating systems
697,Teamcenter Enterprise Professional,Global Pharma Tek,Bengaluru,2-4 Yrs,Not disclosed,20 Days Ago,2024-11-24,Teamcenter EnterpriseQAJavaTomcatProductionRHELTeamcenter ENTUAT testing
698,IT Support engineer,Global Pharma Tek,Bengaluru,3-5 Yrs,Not disclosed,20 Days Ago,2024-11-24,wangooglelantroubleshootingremote desktopprintersit supportantivirus
699,UX Designer,Global Pharma Tek,Hyderabad,4-6 Yrs,Not disclosed,20 Days Ago,2024-11-24,UX DesignsketchingFigmaadobe XDphotoshopuser interfacesprototypeillustrator
700,365 Functional Consultant,Global Pharma Tek,Bengaluru,2-4 Yrs,Not disclosed,20 Days Ago,2024-11-24,Azure DevOpsc#xmlweb technologiesjsonhtmljavascriptfunctional consultancy
701,Memory Layout Engineer,Global Pharma Tek,Hyderabad,3-5 Yrs,Not disclosed,20 Days Ago,2024-11-24,pvlvsiremsdrccmosstavlsi design
702,Data Nimbus - Java Developer,Global Pharma Tek,Hyderabad,3-5 Yrs,Not disclosed,20 Days Ago,2024-11-24,mockitodockerintellij ideagithubxsltweb servicesjspjava development
703,Package Specialist: SAP HANA Security,Global Pharma Tek,Bengaluru,6-11 Yrs,Not disclosed,20 Days Ago,2024-11-24,sapeccsap securitysodsecurity implementationsecurity managementrisk managementrisk assessment
704,Application Lead - Snowflake Data Warehouse,Global Pharma Tek,Bengaluru,5-10 Yrs,Not disclosed,20 Days Ago,2024-11-24,snowflakedata warehousingdata migrationwarehousedata warehousing conceptssql developmentoraclesql server
705,Sr. Engineer V&V Testing,Global Pharma Tek,Bengaluru,7-10 Yrs,Not disclosed,20 Days Ago,2024-11-24,Formulate system verification strategyVerification testingautomationIEC designtest executionvalidation testingVSR
706,PeopleSoft Development,Global Pharma Tek,Bengaluru,4-6 Yrs,Not disclosed,20 Days Ago,2024-11-24,peoplesoft peopletoolspeoplesoft fscmpeoplesoft financepeoplesoftfinancebi publisherpeopletoolsfscm
707,Network Engineer,Global Pharma Tek,Bengaluru,5-10 Yrs,Not disclosed,20 Days Ago,2024-11-24,networkinglanprovisioningmicrosoft azuretroubleshootingswitchingnetwork engineeringload balancing
708,Microsoft SharePoint Cloud Architect,Global Pharma Tek,Hyderabad,5-10 Yrs,Not disclosed,20 Days Ago,2024-11-24,security compliancesharepointcloud technologiespowershell scriptingsharepoint architecturearchitectural designproject managementcss
709,SAP ABAP Development For HANA,Global Pharma Tek,Bengaluru,5-10 Yrs,Not disclosed,20 Days Ago,2024-11-24,sap abap crmsap abap developmentobject oriented developmentsoftware engineeringsap hanaproject managementc++sap
710,SAP ABAP Development,Global Pharma Tek,Bengaluru,5-10 Yrs,Not disclosed,20 Days Ago,2024-11-24,unit testingapplication developmentintegration testingtroubleshootingsap abapsapweb servicesdata dictionary
711,Oracle CX - Service - EBS Service Functional Consultant,Global Pharma Tek,Hyderabad,5-10 Yrs,Not disclosed,20 Days Ago,2024-11-24,oracleoracle cxoracle e-business suitesalesebserpproject managementorder management
712,Physical Design Engineer,Global Pharma Tek,Hyderabad,4-7 Yrs,Not disclosed,20 Days Ago,2024-11-24,asicphysical designpythoncadencetclstadrc / lvsprimetime
713,SAP CPI For Data Services Professional,Global Pharma Tek,Bengaluru,3-8 Yrs,Not disclosed,20 Days Ago,2024-11-24,pi / posap cpipisap abapcpisap process orchestrationdata servicessap
714,MS Full Stack Professional,Global Pharma Tek,Hyderabad,8-13 Yrs,Not disclosed,20 Days Ago,2024-11-24,stored procedurescomplex queries.netagileaspc++cssjdbc
715,Software Engineer -.Net,Global Pharma Tek,Hyderabad,8-13 Yrs,Not disclosed,20 Days Ago,2024-11-24,c#web serviceswindows servicesweb technologiesmicrosoft windowstelerik controlsunit testingcrystal report
716,SAC Consultant with SAP BW Developer,Global Pharma Tek,Bengaluru,5-8 Yrs,Not disclosed,20 Days Ago,2024-11-24,csssap bwsacsap hanaabapbex querysap bisap analytics cloud
717,Senior Research Associate,Curia,"Shamirpet, Hyderabad(Shamirpet)",0 Yrs,Not disclosed,12 Days Ago,2024-11-24,Organic ChemistryChemistrySeniorResearch
718,Ph.D. in organic chemistry- 2024 passouts,Curia,Hyderabad(Shamirpet),0 Yrs,Not disclosed,12 Days Ago,2024-11-24,Medicinal ChemistrySynthetic Organic ChemistryDrug DiscoveryChemistryOrganic chemistryDiscovererDrugSynthetic
719,"Assistant Manager, Executive, Officer,",Lyrus Life Science,Bangalore Rural,2-6 Yrs,Not disclosed,11 Days Ago,2024-11-24,Ir SpectroscopyHplc AnalysisUVKFDissolutionGdpGLPOdp
720,QMS Engineer,Easyq Solutions And Technologies,Remote,2-4 Yrs,Not disclosed,2 Days Ago,2024-11-24,Presentation SkillsCommunication SkillsAnalytical SkillsTechnical WritingQMS ImplementationProblem SolvingMS OfficeWriting
721,Quality Control Officer,Medreich,Bengaluru,4-8 Yrs,"60,000-1.5 Lacs PA",3 Days Ago,2024-11-24,HPCLRaw MaterialGCStability StudiesOSDTabletsPacking MaterialInprocess
722,Nursing Supervisor,Trans Medicine,Remote,2-5 Yrs,5.5-8.5 Lacs PA,4 Days Ago,2024-11-24,NursingPatient CareOperation TheatreEmergencyTheatreOperations
723,Sr. Executive/Asst. Manager Refferal Sale,Apollo Hospitals,Bengaluru,3-8 Yrs,3.5-7.5 Lacs PA,20 Days Ago,2024-11-24,Doctor ActivitiesBdmReferral MarketingHospital SalesHospitalSalesAssistanceMarketing
724,Looking For Zonal Sales Manager @ Romsons Surgical,Romsons Group of Industries,Hyderabad,4-9 Yrs,5-12 Lacs PA,15 Days Ago,2024-11-24,Team HandlingCritical CareHospital SalesSurgical SalesMedical DevicesSalesSurgicalHandling
725,Physician,simple things,"Mangaluru, Chennai, Bengaluru",0-5 Yrs,11-21 Lacs PA,4 Days Ago,2024-11-24,MedicineCommunication SkillsRmp
726,"Jobs For Microbiologist,Microbiology,Biology freshers in Hyderabad",Achievers Spot,"Tirupati, Vijayawada, Hyderabad",0-3 Yrs,3.25-4.5 Lacs PA,3 Days Ago,2024-11-24,microbiologistMicrobiologyB.sc Microbiologymedical codingMSc MicrobiologyBiotechnologymedical coding internBPT
727,SW engineer,Global Pharma Tek,Bengaluru,2-5 Yrs,Not disclosed,20 Days Ago,2024-11-24,c++autosarderivativesjavasoftware engineeringpythonproject managementsoftware development
728,Group Lead,Syngene,Hyderabad,11-15 Yrs,Not disclosed,24 Days Ago,2024-11-24,Medicinal ChemistrySARDrug DiscoverySynthetic Organic ChemistrySyntheticDrugGroup LeadershipChemistry
729,Senior Associate -IT Compliance,Arcolab,Bengaluru,3-8 Yrs,Not disclosed,5 Days Ago,2024-11-24,Gxp ComplianceCSV activitiesADHOCIT SopsSeniorComplianceIT ComplianceCsv
730,ServiceNow Developer/Consultant,Global Pharma Tek,Bengaluru,6-8 Yrs,Not disclosed,20 Days Ago,2024-11-24,service virtualizationhr service deliveryjavascriptservicenowkronosrestperformance analyticsworkday
731,"Knowledge Graph , Data Scientist",Mango Sciences,Bengaluru,2-8 Yrs,Not disclosed,5 Days Ago,2024-11-24,Computer sciencePharmaAnalyticalMachine learningAgileHealthcareLife sciencesOperations
732,Workday and Service,Global Pharma Tek,Bengaluru,6-8 Yrs,Not disclosed,20 Days Ago,2024-11-24,service virtualizationhr service deliveryworkdayworkday hcmservicenowworkday integrationrestworkday functional
733,Specialist System Engineer,Global Pharma Tek,Bengaluru,4-6 Yrs,Not disclosed,20 Days Ago,2024-11-24,pythoncloud migrationcontrol-mgitapikubernetesproject managementvmware
734,ServiceNow Human Resource Service Management (HR),Global Pharma Tek,Bengaluru,3-8 Yrs,Not disclosed,20 Days Ago,2024-11-24,servicenowinformation technologyservice managementhrsdservicenow it service managementcase managementitsmincident management
735,Workday Payroll configuration,Global Pharma Tek,Hyderabad,3-8 Yrs,Not disclosed,20 Days Ago,2024-11-24,workdayhr operationssoftware development life cycleleaninformation systemsstandard operating proceduresemerging technologiesmaintain documentation
736,SharePoint ON PREMISE development,Global Pharma Tek,Bengaluru,5-6 Yrs,Not disclosed,20 Days Ago,2024-11-24,c#jquerysharepoint development.nethtmlsharepoint designermicrosoft azuresharepoint
737,Sales Executive,Pathkind Labs,"Sambalpur, Medininagar, Raipur",0-2 Yrs,3-4.5 Lacs PA,13 Days Ago,2024-11-24,DiagnosticsMarketing CommunicationSales executive activitiesSalesCommunication skillsMarketing
738,Sales Executive,Pathkind Labs,"Kolhapur, Indore, Solapur",0-2 Yrs,3-4.5 Lacs PA,13 Days Ago,2024-11-24,DiagnosticsMarketing CommunicationSalesCommunication skillsSales executive activitiesMarketing
739,"Medical coder( Enm ip&Op,Surgery and denial coding)",Geniehr Solutions,"Bangalore Rural, Chennai, Bengaluru",1-6 Yrs,Not disclosed,25 Days Ago,2024-11-24,E/MSDSmedical coderdenialssurgeryenmCPCMedical Coding
740,"Pediatric Ophthalmologist JOB IN Bangalore,Karnataka , INDIA",Migrate Medico,Bengaluru(Bellandur),3-8 Yrs,25-35 Lacs PA,23 Days Ago,2024-11-24,MSDNBFellowship in Pediatric OphthalmologyPEDIATRIC OPHTHALMOLOGISTPediatricsMicrosoftOphthalmology
741,BAMS/BHMS,Ang Placement And Staffing Solutions,"Ambikapur, Neemuch, Agar",0-4 Yrs,2-3.5 Lacs PA,15 Days Ago,2024-11-24,general WardOPDVentilatorOTNICUICUEmergencyDiagnosis
