,roles,companies,locations,experience,salary,Dates,PresentDate,skills
1659,Lead Clinical Development Ops Analyst,Inventiv International Pharma Services,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-6 Yrs,Not disclosed,17 Days Ago,2024-11-24,CROOperations AnalystBusiness analysisProcess improvementWorkflowmicrosoftOracleAnalytics
1660,Associate Software Engineer,Edifecs Technologies,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-4 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Analytical skillsProduct engineeringCodingDebuggingHealthcaretest driven developmentMiddlewareInformation technology
1661,Executive - Finance,Aster Medcity,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-4 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Finance ExecutiveFinance
1662,Transplant Coordinator Operations,Aster Medcity,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-3 Yrs,Not disclosed,30+ Days Ago,2024-11-24,risk managementtransformersdata managementdg setsadministrationlogisticsmotorscoordination
1663,Senior Executive Operations,Aster Medcity,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-4 Yrs,Not disclosed,30+ Days Ago,2024-11-24,resource managementrisk managementsupply chainperformance monitoringkpiprocess optimizationprocess improvementsales
1664,Manager Business Development,Aster Medcity,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-4 Yrs,Not disclosed,30+ Days Ago,2024-11-24,market expansionsales strategybusiness development managementpitchingnetworkingmarket researchsalesresearch
1665,Assistant Manager Finance & Accounts,Aster Medcity,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-3 Yrs,Not disclosed,30+ Days Ago,2024-11-24,projectionsaccounts payablecash flow statementbalance sheetvariance analysisbank reconciliation statementaccountingbudgeting
1666,Senior Resident,Aster Medcity,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-4 Yrs,Not disclosed,30+ Days Ago,2024-11-24,opdemergency medicinecritical careorthopedicsmedicinepsychiatrygeneral medicinehealthcare
1667,Sr.Executive/Executive-CQA,Ang Lifesciences,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-8 Yrs,Not disclosed,30+ Days Ago,2024-11-24,QAVendor auditOSDcqaChange managementCSenior ExecutiveQMS
1668,Production Manager,Ang Lifesciences,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",8-10 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Market complaintsTrainingQAPharmaRisk assessmentInvestigationMonitoringProduction
1669,Technician Laboratory,Aster Medcity,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-4 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Quality standardsComplianceStandard operating proceduresPatient careHealthcareWorkflowManager Quality ControlTesting
1670,Trainee Technical Services,Endo Pharmaceuticals,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-3 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Batch manufacturingTechnical servicesPharmacyEquityManager TechnologyGap analysisMonitoringBatch
1671,Senior Executive,Aster Medcity,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-4 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Senior Executive
1672,Android Developer,Acrannolife Genomics,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-5 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Product managementBackendMVVMMemory managementGenomicsDebuggingIntegration testingApplication development
1673,System Analyst,Prudential,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-6 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Computer sciencePerformance tuningGITNetworkingDatabase administrationmicrosoftInformation technologySQL
1674,System Analyst,Prudential,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-6 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Computer sciencePerformance tuningSSRSIncident managementWindowsSSISTroubleshootingInformation technology
1675,"Manager II, Platform Product Management",Circles,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",4-7 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Product managementTelecomManager Quality AssuranceCustomer satisfactionAnalyticalProduct life cycle managementMarket researchManager II
1676,Site Engineer.Projects,Aster Medcity,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-4 Yrs,Not disclosed,30+ Days Ago,2024-11-24,ConstructionComplianceInspectionManager Quality ControlManagementMonitoringSupervisionControl
1677,Regulatory Affairs Labeling - Assistant Manager,Endo Pharmaceuticals,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",6-8 Yrs,Not disclosed,30+ Days Ago,2024-11-24,PrintingAdministrationComplianceStandard operating proceduresLegalDatabaseEquityAssistant Manager Regulatory Affairs
1678,Deputy Manager Revenue Cycle Management,Aster Medcity,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-7 Yrs,Not disclosed,30+ Days Ago,2024-11-24,accounts receivablehipaaus healthcarebusiness analysisclaims adjudicationicdhealthcareclaims processing
1679,Senior Executive - Vigilance,Nephroplus,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-5 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Data analysisLaw enforcementExecutiveManagement auditAnalyticalInventory managementInvestigationMS Office
1680,Project Executive,Nephroplus,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-5 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Project ExecutiveInterpersonal skillsTeam managementProject managementAnalyticalCADSchedulingBudgeting
1681,Healthcare Co-ordinator,Healthok Global,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",5-9 Yrs,Not disclosed,30+ Days Ago,2024-11-24,telemedicineHealth insuranceMalayalamInterpersonal skillsQuality improvementProvident fundPhysiotherapyManager Technology
1682,Manager - Civil,Piramal Pharma Limited,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",4-8 Yrs,Not disclosed,30+ Days Ago,2024-11-24,HousekeepingQAManager CivilPharmaShop floorProduction schedulingGMPRaw material
1683,Business Executive/ Business Manager,Exeltis,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-5 Yrs,Not disclosed,30+ Days Ago,2024-11-24,RetailInterpersonal skillsProduct promotionSalesPharmacyPharmaDoctorBusiness Executive
1684,Associate.Materials & Stores,Aster Medcity,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-3 Yrs,Not disclosed,30+ Days Ago,2024-11-24,ProcurementSupply chainTravel bookingHead Business DevelopmentIT marketingE-commerceManager Quality Controlquality operations
1685,Senior Dialysis Technician,Fresenius Medical Care,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-5 Yrs,Not disclosed,30+ Days Ago,2024-11-24,health care servicesgnmcritical careclinical data managementnursingpatient carehealthcarenephrology
1686,Senior Executive.Finance & Accounts,Aster Medcity,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-5 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Senior Finance ExecutiveAccountingSeniorFinance
1687,RBM (Regional Business Manager),ANG Healthcare India,"Mumbai, Indore, Patna, New Delhi, Pune, Jaipur, Bengaluru",5-9 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Head Business DevelopmentPharmacyCritical careAnesthesiaBusiness developmentDevelopmentRegional managementManagement
1688,Physiotherapist/Spine Consultant,Qi Lifecare Pvt. Ltd.,"Noida, Mumbai, Delhi, Pune, Gurgaon, Bengaluru",1-2 Yrs,Not disclosed,30+ Days Ago,2024-11-24,MPTPhysiotherapyInternshipSpineConsulting
1689,"Female Staff Nurse - Wards, ICU & OT (0-6 Years Experience)",A 1500-bed multi-specialty hospital accredited by NABH and recognized by JCI.,"Hyderabad, Pune, Mumbai (All Areas)",1-6 Yrs,2-7 Lacs PA,13 Days Ago,2024-11-24,NurseNursingGNMMidwiferystaff nurseICUbsc nursingVital signs monitoring
1690,General Surgeon,Pristyn Care,"Pune, Bengaluru, Mumbai (All Areas)",4-9 Yrs,Not disclosed,18 Days Ago,2024-11-24,Laparoscopic SurgeryLaparoscopyGeneral SurgerySurgeryGeneral
1691,Speech Therapist & Occupational Therapist,Reliva Physiotherapy & Rehab,"Ongole, Mumbai, Thane, Guntur, Hyderabad, Mysuru, Pune, Chennai, Bengaluru, Aurangabad, Vadodara",1-2 Yrs,Not disclosed,30+ Days Ago,2024-11-24,speech therapybottherapyphysiotherapyergonomicsbptexerciseaudiology
1692,Area Business Manager,Repens Healthcare India,"Kolhapur, Mumbai, Hubli, Indore, Nagpur, Nashik, Pune, Udupi, Shimoga, Ahmedabad, Solapur, Bengaluru",3-4 Yrs,Not disclosed,30+ Days Ago,2024-11-24,HealthcareManagement
1693,"Medical Coding Jobs For Nutrition & Dietetics, Dietitian,Nutritionist",Achievers Spot,"Madurai, Hyderabad/Secunderabad, Chennai",0-1 Yrs,3.5-4.5 Lacs PA,4 Days Ago,2024-11-24,Dieteticsbsc nutrition & dieteticsFood TechnologyNutritionmsc nutrition & dieteticsphysiotherapyfood & nutritionistpharmacist
1694,"Production Chemist Fresher - B.pharmacy / B.sc,m.pharma/m.sc Chemistry",J J Consultants,"Kochi/Cochin, Hyderabad/Secunderabad, Chennai",0-5 Yrs,7-11 Lacs PA,2 Days Ago,2024-11-24,Lead the production doc and dispatch related production batches planning.Coordinate with QAProduction related works.BPCRs related logs and cleaning recordsQuality assuranceCleaningBatchProductionChemistryDoc
1695,"Nutrition & Dietetics,Dietitian,Food Technology Grad For Medical Codin",Achievers Spot,"Madurai, Hyderabad/Secunderabad, Chennai",0-3 Yrs,3.25-4.5 Lacs PA,Today,2024-11-24,bsc nutrition & dieteticsfood technologyfood & nutritionistmsc nutrition & dieteticsphysiotherapypharmacistnursingdietitian
1696,Doctor,Looks Studio,"Mumbai, Pune, Chennai, Ahmedabad, Bengaluru",1-6 Yrs,Not disclosed,30+ Days Ago,2024-11-24,SurgicalDoctor
1697,Sr Business Systems Analyst - Camstar Opcenter,Illumina,"Mumbai, New Delhi, Pune, Bengaluru",5-10 Yrs,Not disclosed,30+ Days Ago,2024-11-24,PLMERPBusiness AnalystBusiness process improvementConfiguration managementAnalyticalManufacturing execution systemSoftware development life cycle
1709,professors & Associate professor - Medical college,Medicoplacements,"Hyderabad/Secunderabad, Chennai, Bangalore/ Bengaluru",9-14 Yrs,Not disclosed,13 Days Ago,2024-11-24,PediatricsGeneral MedicineGeneralMedicalMedicine
1710,Medical Coders Job Ipdrg/Surgery/Radiology Certified or Non Certified,Bizopp Management Consultants,"Hyderabad/ Secunderabad, Chennai, Bangalore/ Bengaluru",1-5 Yrs,6-15 Lacs PA,15 Days Ago,2024-11-24,Certified coderIPDRG CoderRadiology QAIPDRG SR.CODERIPDRG QAMedical CoderMedical CodingRadiology Coder
1711,Senior Sales Executive,AGD Biomedicals,"Noida, Kasargode, Mumbai, Ghaziabad, New Delhi, Pune, Faridabad, Ahmedabad",2-4 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Lead generationPayment collectionChemistrySalesDiagnosticsSenior Sales ExecutivePharmaBiochemistry
1712,Business Development-Sr. Executive,CIAN HEALTHCAR PVT LTD,"Mumbai, New Delhi, Hyderabad, Pune",2-5 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Lead generationCostingProduct promotionSenior ExecutivePharmacySeniorGeneration
1713,Sr. Business Development Manager,CIAN HEALTHCAR PVT LTD,"Mumbai, New Delhi, Hyderabad, Pune",5-10 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Domestic salesSalesNetworkingPharmaManagementRevenue generationBusiness development managementBusiness development
1714,Business Development Executive,Sqarona Medical Communications,"Hybrid - Pune, Mumbai (All Areas)",1-2 Yrs,Not disclosed,23 Days Ago,2024-11-24,Lead GenerationBusiness DevelopmentClinical ResearchMedical WritingMedical CommunicationsClinical TrialsPharma MarketingWriting
1715,Customer Care Executive - Inbound Call Centre,Medi Assist,Hyderabad/Secunderabad,0-4 Yrs,Not disclosed,30+ Days Ago,2024-11-24,EnglishCustomer CareCallingCall CenterInboundcenterinbound calls
1716,Technology Operations,Radical Healthcare Services New Delhi,"Mumbai, Nagpur, Thane, Nashik, Pune, Aurangabad",1-5 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Web technologiesArchitectureFocusTechnology operationsAuditingTechnologyOperations
1717,Institutional Sales Manager ( B2B ),Bioprime Agrisolutions,"Mumbai, Pune",8-12 Yrs,Not disclosed,30 Days Ago,2024-11-24,project salesarea sales managementchannel salesbusiness developmentbusiness development managementcorporate salessalesmarketing
1718,Medical Diagnostics Representatives,Talent Corner Hr Services,"Mumbai, Pune",0-3 Yrs,2-4.5 Lacs PA,30+ Days Ago,2024-11-24,Medical RepMRDiagnostic SalesPharma SellingMedical SalesDiagnosisPharmaceuticalDiagnostics
1719,Medical Representative / Business Development Manager,Torrel Cosmetics,Bengaluru,1-5 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Product managementmarketing executivedistributorsAnalyticalcustomer profilingBusiness Development Managersales strategymarket research
1720,MARKETING PERSONS,Palaksh Testing Laboratory &amp; Services,"Mumbai, Pune",1-3 Yrs,Not disclosed,30+ Days Ago,2024-11-24,digitalemail marketingprint mediachannel salesbusiness developmentadvertisingmediacorporate sales
1721,"Territory Business Executive - Mumbai, Pune, Surat",Novartis,"Pune, Surat, Mumbai (All Areas)",2-7 Yrs,Not disclosed,16 Days Ago,2024-11-24,SalesCardiologyTerritory
1722,Maintenance Assistant,Abhinandan Rasayan,"Mumbai, Nagpur, Thane, Nasik/Nashik, Pune, Aurangabad",8-9 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Help DeskCustomer Servicecustomer relationshipaccess controlsTelephony supportAsset ManagementVendor ManagementInformation
1723,Production Executive,Abhinandan Rasayan,"Mumbai, Nagpur, Thane, Nasik/Nashik, Pune, Aurangabad",8-10 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Help DeskCustomer Servicecustomer relationshipaccess controlsTelephony supportAsset ManagementVendor ManagementInformation
1724,Maintenance officer,Abhinandan Rasayan,"Mumbai, Nagpur, Thane, Nasik/Nashik, Pune, Aurangabad",10-12 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Bulk drugsMaintenance ExecutiveDirect Marketing ExecutiveEquipment maintenancedirectdrugequipmentbulk
1725,Quality Control Chemist,Abhinandan Rasayan,"Mumbai, Nagpur, Thane, Nasik/Nashik, Pune, Aurangabad",4-5 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Help DeskCustomer Servicecustomer relationshipaccess controlsTelephony supportAsset ManagementVendor ManagementInformation
1726,Manager,Abhinandan Rasayan,"Mumbai, Nagpur, Thane, Nasik/Nashik, Pune, Aurangabad",8-10 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Help DeskCustomer Servicecustomer relationshipaccess controlsTelephony supportAsset ManagementVendor ManagementInformation
1727,Field Sales Executive,Biometric Cables,"Mumbai, Nagpur, Thane, Nashik, Pune, Aurangabad",1-3 Yrs,Not disclosed,30+ Days Ago,2024-11-24,AccessoriesField Sales ExecutiveHealthcareMarket researchTechnical supportField salesMarketingSales executive activities
1728,Officer Regulatory Affairs (Mumbai / Pune offices),Agio Pharmaceuticals,"Mumbai, Pune",2-3 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Quality standardsGCPQuality systemsRisk assessmentPackagingRegulatory complianceGMPManagement
1729,Trade Marketing Executive,Vitaminhaat,"Mumbai, Pune",1-3 Yrs,Not disclosed,30+ Days Ago,2024-11-24,ProcurementPrintingTrade Marketing ExecutiveTrade marketingMarketingTrade
1730,Key Account Manager,Vitaminhaat,"Mumbai, Pune",3-6 Yrs,Not disclosed,30+ Days Ago,2024-11-24,RetailDistribution managementForecastingModern tradeAccountingDistributionTradeKey account management
1731,Seo Executive,Vitaminhaat,"Mumbai, Pune",1-3 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Google AnalyticsExcelNetworkingXMLCMSInvestigationForum postingcontent marketing
1732,Copywriter,Vitaminhaat,"Mumbai, Pune",1-3 Yrs,Not disclosed,30+ Days Ago,2024-11-24,ResearchSEOWeb contentSupervisionWeb technologiesCopy writingContentWriting
1733,Digital Marketing Manager,Vitaminhaat,"Mumbai, Pune",2-6 Yrs,Not disclosed,30+ Days Ago,2024-11-24,ExcelOnline marketingSEMSEODigital marketingAdvertisingManagementDigital
1734,Brand Manager,Vitaminhaat,"Mumbai, Pune",3-5 Yrs,Not disclosed,30+ Days Ago,2024-11-24,AtlAdvertising managementResearchManagementAdvertisingBrand managementBrandingBrand
1735,Finance Manager,Vitaminhaat,"Mumbai, Pune",3-5 Yrs,Not disclosed,30+ Days Ago,2024-11-24,VATFinancial managementFinanceManagement
1736,QA Manager,Agio Pharmaceuticals,"Mumbai, Pune",2-7 Yrs,Not disclosed,30+ Days Ago,2024-11-24,ProcurementPrice negotiationQAVendor DevelopmentTechno-commercialQA managementManagementQuality assurance
1737,Psychology Candidate,Starlit Ability,"Mumbai, Pune",1-2 Yrs,Not disclosed,30+ Days Ago,2024-11-24,TrainingPsychology
1738,AM-SOCIAL MEDIA,Vitaminhaat,"Mumbai, Pune",1-3 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Google AnalyticsWeb technologiesSocial mediaSocial networkingCorporateInvestigationGoogleAnalytics
1739,Sales Representatives,Agio Pharmaceuticals,"Mumbai, Pune",10-12 Yrs,Not disclosed,30+ Days Ago,2024-11-24,business researcharea sales managementchannel salesbusiness developmentmarket researchsalesmarket analysisbrand management
1740,Regional Manager (Sales),Prabott Life Sciences,"Mumbai, Indore, Pune, Ahmedabad",5-7 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Time managementPharmaDemand forecastingMarket researchBudgetingKey account managementForecastingSales
1741,Senior Software Engineer(API Developer),Cognota Healthcare,"Mumbai, Pune",4-8 Yrs,Not disclosed,30+ Days Ago,2024-11-24,CADO.NetEntity frameworkSQLentityframeworkseniorsoftware
1742,Sales & Marketing,Axigen Healthcare,"Mumbai, Pune",3-6 Yrs,Not disclosed,30+ Days Ago,2024-11-24,financial analysisteam managementmanagement skillspresentation skillsconvincing powerbusiness analysisproblem solvingcoordination
1743,Sales & Marketing,Axigen Healthcare,"Mumbai, Pune",8-12 Yrs,Not disclosed,30+ Days Ago,2024-11-24,financial analysisteam managementmanagement skillspresentation skillsconvincing powerbusiness analysisproblem solvingcoordination
1744,Sales & Marketing,Axigen Healthcare,"Mumbai, Pune",5-8 Yrs,Not disclosed,30+ Days Ago,2024-11-24,financial analysisteam managementmanagement skillspresentation skillsconvincing powerbusiness analysisproblem solvingcoordination
1745,Senior Manager - Government Sales,Actorius Innovations And Research,"Mumbai, Nagpur, Thane, Nashik, Pune, Aurangabad",7-15 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Senior Executive ComplianceInterpersonal skillsSalesDiagnosticsComplianceSenior ExecutivePharmagovernment business
1746,Doctor,Arrogyam Health Care,"Mumbai, Pune",5-10 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Service excellenceCorporateHealthcarehousekeeping staffHousekeepingExcellence
1747,Medical Representatives,Chaitanya Pharmaceuticals,"Mumbai, Nagpur, Pune",1-4 Yrs,Not disclosed,30+ Days Ago,2024-11-24,SalesMedical Representativemedical
1748,Area Sales Manager,Chaitanya Pharmaceuticals,"Mumbai, Pune",5-10 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Area salesmanagementsales managementarea sales managementsales
1749,Business Executive,KPL Life Science,"Mumbai, Nagpur, Thane, Nashik, Pune, Aurangabad",1-2 Yrs,Not disclosed,30+ Days Ago,2024-11-24,revenue generationcompetitor analysisarea sales managementchannel salesbusiness developmentmarket researchcorporate salessales
1750,Sr.BA For MNC Pharmacy Client at Airoli,Celusion Technologies,"Mumbai, Mumbai Suburban, Navi Mumbai, Pune, Mumbai (All Areas)",3-5 Yrs,8-10 Lacs PA,11 Days Ago,2024-11-24,Business AnalystLimsHealthcare DomainBrdWaterfallRequirement GatheringUser StoriesWireframe
1751,Business Analyst,Flash Aligners,"Mumbai, New Delhi, Pune",3-4 Yrs,Not disclosed,30+ Days Ago,2024-11-24,financial analysiserpdata analysisdata analyticspresentation skillsbusiness analysisbusiness analyticsanalysis
1752,Accounts Executive,Flash Aligners,"Mumbai, Pune",3-4 Yrs,Not disclosed,30+ Days Ago,2024-11-24,ledgeraccounts receivableaccounts payablebalance sheetjournal entriespetty cashaccountingcompany accounts
1753,Regional Manager ( Sales ),Prabott Life Sciences,"Mumbai, Indore, Pune, Ahmedabad",5-7 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Time managementPharmaPharmacyDemand forecastingMarket researchBudgetingKey account managementForecasting
1754,Business Executive ( Sales ),Prabott Life Sciences,"Mumbai, Indore, Pune, Ahmedabad",5-7 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Time managementPharmacyDemand forecastingPharmaMarket researchBudgetingSales ExecutiveKey account management
1755,Dot NET / MVC Developer,Cognota Healthcare,"Mumbai, Pune",3-8 Yrs,Not disclosed,30+ Days Ago,2024-11-24,MS SQLjQueryWeb technologiesASP.Net MVCangularjsMVCNet MVCMicrosoft
1756,System Admin,Cognota Healthcare,"Mumbai, Pune",4-8 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Network administrationLinuxLANActive directoryTelecommunicationTroubleshootingSystem AdministratorTechnical support
1757,Subject Matter Expert,Cognota Healthcare,"Mumbai, Pune",7-14 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Trainingdevelopment testingProject managementBankingSoftware development life cycleSubject Matter ExpertBusiness operationsSubject
1758,Sales Marketing Partner,Cognota Healthcare,"Mumbai, Pune",7-15 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Direct salesbfsi salesSales lead generationSoftware salesClient acquisitionMonitoringBanking softwareSales
1759,Sales Support Executive,Paramount Health Services,"Mumbai, Pune",2-3 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Sales Support ExecutiveDiagnosticsNetworkingHealthcareSupport servicesService salesNew business developmentSales
1760,Business Development Manager,Paramount Health Services,"Mumbai, Pune",2-3 Yrs,Not disclosed,30+ Days Ago,2024-11-24,SUBDiagnosticsHospital administrationHealthcareTraining managementNABHHospitalDevelopment
1761,Dot Net Developer,Paramount Health Services,"Mumbai, Thane, Pune",2-7 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Sql Server 2008jQueryLINQRDBMSEntity frameworkJSONWCFStored procedures
1762,Senior Executives Regulatory Affairs,Agio Pharmaceuticals,"Mumbai, Pune",5-7 Yrs,Not disclosed,30+ Days Ago,2024-11-24,ExecutivePharmaproduct life cycleGap analysisRegulatory affairsAnalysisRegulatoryPharmaceutical
1763,Sr Sales Executive or Sales Executive,Skytech,"Mumbai, Pune, Vadodara",2-5 Yrs,Not disclosed,30+ Days Ago,2024-11-24,complaint handlingcold callingnetworkingbusiness developmentmarket researchmediasalesresearch
1764,AREA MANAGER,Torrel Cosmetics,"karnataka,kerala",3-4 Yrs,Not disclosed,30+ Days Ago,2024-11-24,pharmaceuticaltamilmanagercorrespondenceyahootorrentAREA MANAGERbusiness development manager
1765,Med Oncologist Reqd iin Med college in Nashik,Recmasters,"Nashik, Pune, Mumbai (All Areas)",0-5 Yrs,35-50 Lacs PA,16 Days Ago,2024-11-24,Oncologydm oncologyMedical OncologyMedical oncologistdm oncoDmdnbdnb oncology
1766,Purchase Executive,Jasgur Life Sciences,"Mumbai, New Delhi, Pune",1-4 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Purchase ExecutivePurchase
1767,Business Development Officer,Jasgur Life Sciences,"Mumbai, New Delhi, Pune",1-6 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Business Development OfficerDevelopmentBusiness development
1768,Csv Validation Engineer,Cleanstep Pharma And Engineering Solutions,"Nagpur, Pune, Mumbai (All Areas)",1-3 Yrs,2.5-4.5 Lacs PA,17 Days Ago,2024-11-24,GAMP5LIMSDocumentation SkillsV-modelProblem SolvingBMS21 CFREMS
1769,Program Associate,Noora Health,"Mumbai, Nagpur, Thane, Nashik, Pune, Aurangabad",1-3 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Program AssociateNursingSurgicalAnalyticalHTTPMS OfficeOperationsClient management
1770,Sales Head - Africa,Client of JobSearch Recruitment services,"Pune, Mumbai (All Areas), Africa",8-13 Yrs,25-30 Lacs PA,22 Days Ago,2024-11-24,africa experienceTeam ManagementNegotiationNew Business Developmentproduct technical knowledgeMultitaskingPharmaceuticalwilling to travel
1771,Technical Support Executive,Tofflon (India),"Hyderabad, Pune, Bengaluru",2-5 Yrs,Not disclosed,5 Days Ago,2024-11-24,Techno Commercial SalesTechnical Sales supportPharma MachineryTechnical Customer SupportPharmaceuticalMachineryTechno-commercialSales
1772,Pharmacovigilance Associate,Centric Edu,"Hyderabad, Pune, Bengaluru",0-3 Yrs,4.75-8 Lacs PA,12 Days Ago,2024-11-24,PharmacovigilanceDrug Regulatory AffairsDrugDrug SafetyCase ProcessingCaseRegulatory affairsRegulatory
1773,JAVA Microservices+WDP API Professional,Global Pharma Tek,"Hybrid - Hyderabad, Pune, Bengaluru",5-10 Yrs,Not disclosed,19 Days Ago,2024-11-24,JavaWDP APIJava MicroservicesSQLMicroservicesAPI
1774,Devops Engineer,Global Pharma Tek,"Hyderabad, Pune, Bengaluru",4-6 Yrs,Not disclosed,20 Days Ago,2024-11-24,DevOpsMavenJavaAzurePaaSGitHubPrometheusGrafana
1775,System Reliability Engineering professional,Global Pharma Tek,"Hyderabad, Pune, Bengaluru",6-8 Yrs,Not disclosed,20 Days Ago,2024-11-24,System Reliability EngineeringJenkinsAutomationLinuxTerraformRedisWindowsITIL
1776,"SAP BODS, S4/HANA implementation, LTMOM Professional",Global Pharma Tek,"Hybrid - Hyderabad, Pune, Bengaluru",10-12 Yrs,Not disclosed,20 Days Ago,2024-11-24,SAP BODSData TransformationSAP S4/HANAData migrationSAP implementationLTMOMSAPBod
1777,Area Sales Manager,MNC in B2C Medical Devices & Equipment Sector,"Pune, Ahmedabad, Bengaluru",10-18 Yrs,7-14 Lacs PA,3 Days Ago,2024-11-24,Revenue GenerationClient ManagementTeam ManagementLead GenerationTeam LeadingSales Lead GenerationNew cliStakeholder Management
1778,Technical Lead,Global Pharma Tek,"Pune, Bengaluru",5-8 Yrs,Not disclosed,19 Days Ago,2024-11-24,Embedded CRTOSCANUSBUARTMedical domainI2CSPI
1779,Devops Engineer - Infrastructure,Global Pharma Tek,"Hybrid - Pune, Bengaluru",7-9 Yrs,Not disclosed,20 Days Ago,2024-11-24,DevopsVMwareWindows OSTerraformConfluenceBitbCI/CD pipelineVMware ESXi
1780,Key Account Manager,Lilac Laboratories,"New Delhi, Pune, Chennai, Ahmedabad",5-10 Yrs,Not disclosed,2 Days Ago,2024-11-24,contract negotiationscustomer relationshipteam managementnew businesscustomer complaintssales activitiesbusiness developmentcorporate sales
1781,Consultant/ Jr.Cons/ Sr. Registrar- ICU,Ruby Hall Clinic (RHC),Pune,0-5 Yrs,Not disclosed,11 Days Ago,2024-11-24,CCUIDCCMMDDNBintensivistMedicineMbbsCritical Care
